date,predicted_value,actual_value
2026-01-01,4305.141081806798,4325.60009765625
2026-01-02,4306.607392917152,4314.39990234375
2026-01-03,4291.189048636954,4314.39990234375
2026-01-04,4282.874285990233,4314.39990234375
2026-01-05,4301.117014938265,4436.89990234375
2026-01-06,4327.2135328129925,4482.2001953125
2026-01-07,4353.802755252579,4449.2998046875
2026-01-08,4373.634466182321,4449.7001953125
2026-01-09,4388.177821992628,4490.2998046875
2026-01-10,4391.239954729852,4490.2998046875
2026-01-11,4405.19125437938,4490.2998046875
2026-01-12,4438.4734173150455,4604.2998046875
2026-01-13,4458.484395961586,4589.2001953125
2026-01-14,4481.675676439364,4626.2998046875
2026-01-15,4504.293399850629,4616.2998046875
2026-01-16,4505.599966986719,4588.39990234375
2026-01-17,4508.319771261286,4588.39990234375
2026-01-18,4501.148213235534,4588.39990234375
2026-01-19,4495.446719574031,4588.39990234375
2026-01-20,4519.9334771122985,4759.60009765625
2026-01-21,4554.625271404391,4831.7998046875
2026-01-22,4597.324740274413,4908.7998046875
2026-01-23,4638.831408007202,4976.2001953125
2026-01-24,4677.103327994216,4976.2001953125
2026-01-25,4705.648173853528,4976.2001953125
2026-01-26,4740.4548686538465,5079.7001953125
2026-01-27,4763.273999500199,5079.89990234375
2026-01-28,4797.821935477479,5301.60009765625
2026-01-29,4833.737941298322,5318.39990234375
2026-01-30,4844.458685256121,4713.89990234375
2026-01-31,4837.860733298126,4713.89990234375
2026-02-01,4819.384524425863,4713.89990234375
2026-02-02,4783.050888203209,4622.5
2026-02-03,4781.86274801682,4903.7001953125
2026-02-04,4783.329782669273,4920.39990234375
2026-02-05,4779.288931974075,4861.39990234375
2026-02-06,4791.345327553784,4951.2001953125
2026-02-07,4797.837931778678,4951.2001953125
2026-02-08,4806.362429823536,4951.2001953125
2026-02-09,4844.419237023754,5050.89990234375
2026-02-10,4855.811739481958,5003.7998046875
2026-02-11,4878.474499450872,5071.60009765625
2026-02-12,4879.578216213181,4923.7001953125
2026-02-13,4877.539168312337,5022.0
2026-02-14,4879.047413443499,5022.0
2026-02-15,4881.922506097165,5022.0
2026-02-16,4896.9572387809285,5022.0
2026-02-17,4875.238820784713,4882.89990234375
2026-02-18,4871.294409387392,4986.5
2026-02-19,4864.566128079793,4975.89990234375
2026-02-20,4871.188771581923,5059.2998046875
2026-02-21,4900.360864691284,5059.2998046875
2026-02-22,4916.600299213453,5059.2998046875
2026-02-23,4946.709194442321,5204.7001953125
2026-02-24,4961.961648674076,5155.7998046875
2026-02-25,4988.562493980363,5206.39990234375
2026-02-26,5004.732645718378,5176.5
2026-02-27,5004.657477129518,5230.5
2026-02-28,5021.009182458487,5230.5
2026-03-01,5027.967668989967,5230.5
2026-03-02,5053.636757972262,5294.39990234375
2026-03-03,5045.371639225791,5107.39990234375
2026-03-04,5034.219576666935,5120.2001953125
2026-03-05,5023.593267986345,5065.2998046875
2026-03-06,5012.186060044454,5146.10009765625
2026-03-07,5008.630106699587,5146.10009765625
2026-03-08,5008.060477617893,5146.10009765625
2026-03-09,5011.52753587236,5091.5
2026-03-10,5018.652922303456,5229.7001953125
2026-03-11,5016.928821687356,5167.39990234375
2026-03-12,5022.596446736007,5115.7998046875
2026-03-13,5019.511676085794,5052.5
2026-03-14,4990.849405400497,5052.5
2026-03-15,4965.92221497659,5052.5
2026-03-16,4941.485841504841,4994.0
2026-03-17,4927.450111408559,5001.0
2026-03-18,4902.236926600132,4889.89990234375
2026-03-19,4868.213953535944,4600.7001953125
2026-03-20,4836.563883844964,4570.39990234375
2026-03-21,4805.333997035544,4570.39990234375
2026-03-22,4773.940525488987,4570.39990234375
2026-03-23,4750.870607285358,4404.10009765625
2026-03-24,4730.7217580156985,4399.2998046875
2026-03-25,4734.507956749098,4549.7998046875
2026-03-26,4723.440000189082,4375.5
2026-03-27,4729.892338765191,4492.0
2026-03-28,4732.976552198435,4492.0
2026-03-29,4727.881755629603,4492.0
2026-03-30,4744.510748850202,4526.0
2026-03-31,4777.076415574082,4647.60009765625
2026-04-01,4812.938733192933,4783.2001953125
2026-04-02,4830.145316607418,4651.5
2026-04-03,4847.508268958254,4651.5
2026-04-04,4850.309400748258,4651.5
2026-04-05,4834.125315450633,4651.5
2026-04-06,4837.45382452416,4656.7998046875
2026-04-07,4842.152395585235,4657.10009765625
2026-04-08,4867.215749489018,4749.5
2026-04-09,4887.791877423335,4792.2001953125
2026-04-10,4912.497019658021,4761.89990234375
2026-04-11,4930.2335813955615,4761.89990234375
2026-04-12,4941.076362515609,4761.89990234375
2026-04-13,4932.056956001454,4742.39990234375
2026-04-14,4950.882149007253,4825.0
2026-04-15,4962.2588582121025,4800.0
2026-04-16,4973.056942543889,4785.39990234375
2026-04-17,4994.33389128872,4857.60009765625
2026-04-18,5004.088725931435,4857.60009765625
2026-04-19,5019.448203533998,4857.60009765625
2026-04-20,5023.898159143009,4806.60009765625
2026-04-21,4997.753594344432,4698.39990234375
2026-04-22,4976.641284575404,4732.5
2026-04-23,4952.319536017577,4705.10009765625
2026-04-24,4933.496332508958,4722.2998046875
2026-04-25,4938.837838171739,4722.2998046875
2026-04-26,4933.810732446966,4722.2998046875
2026-04-27,4928.268824325938,4675.39990234375
2026-04-28,4906.059999710799,4591.5
2026-04-29,4875.504601163618,4545.2001953125
