id,date,country,ticker,value
1,01/01/2016,egypt,headline_inflation_yy,10.098
2,01/01/2016,egypt,core_inflation_yy,7.728
3,01/01/2017,egypt,headline_inflation_yy,28.138
4,01/01/2017,egypt,core_inflation_yy,30.859
5,01/01/2018,egypt,headline_inflation_yy,17.068
6,01/01/2018,egypt,core_inflation_yy,14.351
7,01/01/2019,egypt,headline_inflation_yy,12.714
8,01/01/2019,egypt,core_inflation_yy,8.566
9,01/01/2020,egypt,headline_inflation_yy,7.168
10,01/01/2020,egypt,core_inflation_yy,2.663
11,01/01/2021,egypt,headline_inflation_yy,4.285
12,01/01/2021,egypt,core_inflation_yy,3.637
13,01/01/2022,egypt,headline_inflation_yy,7.259
14,01/01/2022,egypt,core_inflation_yy,6.269
15,01/01/2023,egypt,headline_inflation_yy,25.834
16,01/01/2023,egypt,core_inflation_yy,31.241
17,01/01/2024,egypt,headline_inflation_yy,29.8
18,01/01/2024,egypt,core_inflation_yy,29.01
19,01/01/2025,egypt,headline_inflation_yy,23.95
20,01/01/2025,egypt,core_inflation_yy,22.59
21,01/02/2016,egypt,headline_inflation_yy,9.131
22,01/02/2016,egypt,core_inflation_yy,7.496
23,01/02/2017,egypt,headline_inflation_yy,30.249
24,01/02/2017,egypt,core_inflation_yy,33.1
25,01/02/2018,egypt,headline_inflation_yy,14.397
26,01/02/2018,egypt,core_inflation_yy,11.882
27,01/02/2019,egypt,headline_inflation_yy,14.35
28,01/02/2019,egypt,core_inflation_yy,9.201
29,01/02/2020,egypt,headline_inflation_yy,5.319
30,01/02/2020,egypt,core_inflation_yy,1.916
31,01/02/2021,egypt,headline_inflation_yy,4.455
32,01/02/2021,egypt,core_inflation_yy,3.645
33,01/02/2022,egypt,headline_inflation_yy,8.819
34,01/02/2022,egypt,core_inflation_yy,7.234
35,01/02/2023,egypt,headline_inflation_yy,31.932
36,01/02/2023,egypt,core_inflation_yy,40.262
37,01/02/2024,egypt,headline_inflation_yy,35.71
38,01/02/2024,egypt,core_inflation_yy,35.12
39,01/02/2025,egypt,headline_inflation_yy,12.84
40,01/02/2025,egypt,core_inflation_yy,10.01
41,01/03/2016,egypt,headline_inflation_yy,9.015
42,01/03/2016,egypt,core_inflation_yy,8.415
43,01/03/2017,egypt,headline_inflation_yy,30.912
44,01/03/2017,egypt,core_inflation_yy,32.25
45,01/03/2018,egypt,headline_inflation_yy,13.319
46,01/03/2018,egypt,core_inflation_yy,11.587
47,01/03/2019,egypt,headline_inflation_yy,14.162
48,01/03/2019,egypt,core_inflation_yy,8.929
49,01/03/2020,egypt,headline_inflation_yy,5.092
50,01/03/2020,egypt,core_inflation_yy,1.887
51,01/03/2021,egypt,headline_inflation_yy,4.476
52,01/03/2021,egypt,core_inflation_yy,3.672
53,01/03/2022,egypt,headline_inflation_yy,10.491
54,01/03/2022,egypt,core_inflation_yy,10.055
55,01/03/2023,egypt,headline_inflation_yy,32.665
56,01/03/2023,egypt,core_inflation_yy,39.509
57,01/03/2024,egypt,headline_inflation_yy,33.34
58,01/03/2024,egypt,core_inflation_yy,33.66
59,01/03/2025,egypt,headline_inflation_yy,13.62
60,01/03/2025,egypt,core_inflation_yy,9.41
61,01/04/2016,egypt,headline_inflation_yy,10.274
62,01/04/2016,egypt,core_inflation_yy,9.512
63,01/04/2017,egypt,headline_inflation_yy,31.464
64,01/04/2017,egypt,core_inflation_yy,32.062
65,01/04/2018,egypt,headline_inflation_yy,13.124
66,01/04/2018,egypt,core_inflation_yy,11.616
67,01/04/2019,egypt,headline_inflation_yy,13.015
68,01/04/2019,egypt,core_inflation_yy,8.109
69,01/04/2020,egypt,headline_inflation_yy,5.881
70,01/04/2020,egypt,core_inflation_yy,2.541
71,01/04/2021,egypt,headline_inflation_yy,4.101
72,01/04/2021,egypt,core_inflation_yy,3.331
73,01/04/2022,egypt,headline_inflation_yy,13.111
74,01/04/2022,egypt,core_inflation_yy,11.943
75,01/04/2023,egypt,headline_inflation_yy,30.596
76,01/04/2023,egypt,core_inflation_yy,38.575
77,01/04/2024,egypt,headline_inflation_yy,32.54
78,01/04/2024,egypt,core_inflation_yy,31.81
79,01/04/2025,egypt,headline_inflation_yy,13.9
80,01/04/2025,egypt,core_inflation_yy,10.4
81,01/05/2016,egypt,headline_inflation_yy,12.3
82,01/05/2016,egypt,core_inflation_yy,12.232
83,01/05/2017,egypt,headline_inflation_yy,29.71
84,01/05/2017,egypt,core_inflation_yy,30.571
85,01/05/2018,egypt,headline_inflation_yy,11.447
86,01/05/2018,egypt,core_inflation_yy,11.086
87,01/05/2019,egypt,headline_inflation_yy,14.088
88,01/05/2019,egypt,core_inflation_yy,7.83
89,01/05/2020,egypt,headline_inflation_yy,4.696
90,01/05/2020,egypt,core_inflation_yy,1.542
91,01/05/2021,egypt,headline_inflation_yy,4.829
92,01/05/2021,egypt,core_inflation_yy,3.413
93,01/05/2022,egypt,headline_inflation_yy,13.529
94,01/05/2022,egypt,core_inflation_yy,13.343
95,01/05/2023,egypt,headline_inflation_yy,32.75
96,01/05/2023,egypt,core_inflation_yy,40.31
97,01/05/2024,egypt,headline_inflation_yy,28.15
98,01/05/2024,egypt,core_inflation_yy,27.13
99,01/05/2025,egypt,headline_inflation_yy,16.8
100,01/05/2025,egypt,core_inflation_yy,13.1
101,01/06/2016,egypt,headline_inflation_yy,13.969
102,01/06/2016,egypt,core_inflation_yy,12.371
103,01/06/2017,egypt,headline_inflation_yy,29.763
104,01/06/2017,egypt,core_inflation_yy,31.947
105,01/06/2018,egypt,headline_inflation_yy,14.384
106,01/06/2018,egypt,core_inflation_yy,10.895
107,01/06/2019,egypt,headline_inflation_yy,9.377
108,01/06/2019,egypt,core_inflation_yy,6.398
109,01/06/2020,egypt,headline_inflation_yy,5.631
110,01/06/2020,egypt,core_inflation_yy,0.954
111,01/06/2021,egypt,headline_inflation_yy,4.93
112,01/06/2021,egypt,core_inflation_yy,3.849
113,01/06/2022,egypt,headline_inflation_yy,13.155
114,01/06/2022,egypt,core_inflation_yy,14.571
115,01/06/2023,egypt,headline_inflation_yy,35.71
116,01/06/2023,egypt,core_inflation_yy,41.0
117,01/06/2024,egypt,headline_inflation_yy,27.513
118,01/06/2024,egypt,core_inflation_yy,26.642
119,01/06/2025,egypt,headline_inflation_yy,14.9
120,01/06/2025,egypt,core_inflation_yy,11.4
121,01/07/2016,egypt,headline_inflation_yy,13.999
122,01/07/2016,egypt,core_inflation_yy,12.308
123,01/07/2017,egypt,headline_inflation_yy,32.952
124,01/07/2017,egypt,core_inflation_yy,35.258
125,01/07/2018,egypt,headline_inflation_yy,13.509
126,01/07/2018,egypt,core_inflation_yy,8.541
127,01/07/2019,egypt,headline_inflation_yy,8.659
128,01/07/2019,egypt,core_inflation_yy,5.903
129,01/07/2020,egypt,headline_inflation_yy,4.203
130,01/07/2020,egypt,core_inflation_yy,0.722
131,01/07/2021,egypt,headline_inflation_yy,5.446
132,01/07/2021,egypt,core_inflation_yy,4.567
133,01/07/2022,egypt,headline_inflation_yy,13.64
134,01/07/2022,egypt,core_inflation_yy,15.637
135,01/07/2023,egypt,headline_inflation_yy,36.46
136,01/07/2023,egypt,core_inflation_yy,40.73
137,01/07/2024,egypt,headline_inflation_yy,25.673
138,01/07/2024,egypt,core_inflation_yy,24.381
139,01/07/2025,egypt,headline_inflation_yy,13.9
140,01/07/2025,egypt,core_inflation_yy,11.6
141,01/08/2016,egypt,headline_inflation_yy,15.469
142,01/08/2016,egypt,core_inflation_yy,13.252
143,01/08/2017,egypt,headline_inflation_yy,31.916
144,01/08/2017,egypt,core_inflation_yy,34.86
145,01/08/2018,egypt,headline_inflation_yy,14.24
146,01/08/2018,egypt,core_inflation_yy,8.832
147,01/08/2019,egypt,headline_inflation_yy,7.455
148,01/08/2019,egypt,core_inflation_yy,4.907
149,01/08/2020,egypt,headline_inflation_yy,3.366
150,01/08/2020,egypt,core_inflation_yy,0.836
151,01/08/2021,egypt,headline_inflation_yy,5.682
152,01/08/2021,egypt,core_inflation_yy,4.526
153,01/08/2022,egypt,headline_inflation_yy,14.56
154,01/08/2022,egypt,core_inflation_yy,16.657
155,01/08/2023,egypt,headline_inflation_yy,37.415
156,01/08/2023,egypt,core_inflation_yy,40.38
157,01/08/2024,egypt,headline_inflation_yy,26.249
158,01/08/2024,egypt,core_inflation_yy,25.126
159,01/08/2025,egypt,headline_inflation_yy,12.0
160,01/08/2025,egypt,core_inflation_yy,10.7
161,01/09/2016,egypt,headline_inflation_yy,14.088
162,01/09/2016,egypt,core_inflation_yy,13.935
163,01/09/2017,egypt,headline_inflation_yy,31.592
164,01/09/2017,egypt,core_inflation_yy,33.26
165,01/09/2018,egypt,headline_inflation_yy,15.97
166,01/09/2018,egypt,core_inflation_yy,8.554
167,01/09/2019,egypt,headline_inflation_yy,4.774
168,01/09/2019,egypt,core_inflation_yy,2.603
169,01/09/2020,egypt,headline_inflation_yy,3.694
170,01/09/2020,egypt,core_inflation_yy,3.264
171,01/09/2021,egypt,headline_inflation_yy,6.579
172,01/09/2021,egypt,core_inflation_yy,4.848
173,01/09/2022,egypt,headline_inflation_yy,15.021
174,01/09/2022,egypt,core_inflation_yy,17.996
175,01/09/2023,egypt,headline_inflation_yy,38.0
176,01/09/2023,egypt,core_inflation_yy,39.7
177,01/09/2024,egypt,headline_inflation_yy,26.397
178,01/09/2024,egypt,core_inflation_yy,24.966
179,01/09/2025,egypt,headline_inflation_yy,11.7
180,01/09/2025,egypt,core_inflation_yy,11.3
181,01/10/2016,egypt,headline_inflation_yy,13.563
182,01/10/2016,egypt,core_inflation_yy,15.716
183,01/10/2017,egypt,headline_inflation_yy,30.821
184,01/10/2017,egypt,core_inflation_yy,30.527
185,01/10/2018,egypt,headline_inflation_yy,17.675
186,01/10/2018,egypt,core_inflation_yy,8.857
187,01/10/2019,egypt,headline_inflation_yy,3.146
188,01/10/2019,egypt,core_inflation_yy,2.723
189,01/10/2020,egypt,headline_inflation_yy,4.52
190,01/10/2020,egypt,core_inflation_yy,3.889
191,01/10/2021,egypt,headline_inflation_yy,6.267
192,01/10/2021,egypt,core_inflation_yy,5.221
193,01/10/2022,egypt,headline_inflation_yy,16.243
194,01/10/2022,egypt,core_inflation_yy,19.021
195,01/10/2023,egypt,headline_inflation_yy,35.8
196,01/10/2023,egypt,core_inflation_yy,38.1
197,01/10/2024,egypt,headline_inflation_yy,26.531
198,01/10/2024,egypt,core_inflation_yy,24.404
199,01/10/2025,egypt,headline_inflation_yy,12.5
200,01/10/2025,egypt,core_inflation_yy,12.1
201,01/11/2016,egypt,headline_inflation_yy,19.427
202,01/11/2016,egypt,core_inflation_yy,20.731
203,01/11/2017,egypt,headline_inflation_yy,25.978
204,01/11/2017,egypt,core_inflation_yy,25.543
205,01/11/2018,egypt,headline_inflation_yy,15.655
206,01/11/2018,egypt,core_inflation_yy,7.944
207,01/11/2019,egypt,headline_inflation_yy,3.628
208,01/11/2019,egypt,core_inflation_yy,2.114
209,01/11/2020,egypt,headline_inflation_yy,5.696
210,01/11/2020,egypt,core_inflation_yy,4.021
211,01/11/2021,egypt,headline_inflation_yy,5.556
212,01/11/2021,egypt,core_inflation_yy,5.79
213,01/11/2022,egypt,headline_inflation_yy,18.724
214,01/11/2022,egypt,core_inflation_yy,21.528
215,01/11/2023,egypt,headline_inflation_yy,34.55
216,01/11/2023,egypt,core_inflation_yy,35.86
217,01/11/2024,egypt,headline_inflation_yy,25.54
218,01/11/2024,egypt,core_inflation_yy,23.71
219,01/11/2025,egypt,headline_inflation_yy,12.3
220,01/11/2025,egypt,core_inflation_yy,12.5
221,01/12/2016,egypt,headline_inflation_yy,23.269
222,01/12/2016,egypt,core_inflation_yy,25.858
223,01/12/2017,egypt,headline_inflation_yy,21.901
224,01/12/2017,egypt,core_inflation_yy,19.864
225,01/12/2018,egypt,headline_inflation_yy,11.971
226,01/12/2018,egypt,core_inflation_yy,8.304
227,01/12/2019,egypt,headline_inflation_yy,7.1
228,01/12/2019,egypt,core_inflation_yy,2.374
229,01/12/2020,egypt,headline_inflation_yy,5.428
230,01/12/2020,egypt,core_inflation_yy,3.803
231,01/12/2021,egypt,headline_inflation_yy,5.899
232,01/12/2021,egypt,core_inflation_yy,5.968
233,01/12/2022,egypt,headline_inflation_yy,21.269
234,01/12/2022,egypt,core_inflation_yy,24.449
235,01/12/2023,egypt,headline_inflation_yy,33.7
236,01/12/2023,egypt,core_inflation_yy,34.18
237,01/12/2024,egypt,headline_inflation_yy,24.06
238,01/12/2024,egypt,core_inflation_yy,23.22
239,01/12/2025,egypt,headline_inflation_yy,12.3
240,01/12/2025,egypt,core_inflation_yy,11.8
