id,region,date,planned_subsidy_electricity,actual_subsidy_electricity,planned_subsidy_petroleum_products,actual_subsidy_petroleum_products
1,egypt,2006/2007,,,40000,40000
2,egypt,2007/2008,2000,2000,36600,36600
3,egypt,2008/2009,3000,3000,58647,58647
4,egypt,2009/2010,0,0,57058,57058
5,egypt,2010/2011,6300,6300,67680,67680
6,egypt,2011/2012,5000,0,95535,95535
7,egypt,2012/2013,5000,8550,70000,120000
8,egypt,2013/2014,13280,13280,99595,126180
9,egypt,2014/2015,27242,23630,100251,73915
10,egypt,2015/2016,31073,28483,61703,51045
11,egypt,2016/2017,28979,27590,35042.5,115000
12,egypt,2017/2018,30000,28585,110148,120803
13,egypt,2018/2019,16000,16000,89075,84732
14,egypt,2019/2020,4000,0,52963,18677
15,egypt,2020/2021,0,0,28193,18913
16,egypt,2021/2022,0,0,18411,59829
17,egypt,2022/2023,0,2081,28094,125631
18,egypt,2023/2024,0,2423,119419,355889
19,egypt,2024/2025,2500,2500,154499,154499
20,egypt,2025/2026,75000,75000,75033,75033
