Indicator Name,"Inflation, consumer prices (annual %)"
Indicator Code,FP.CPI.TOTL.ZG
1960,0.332829047
1961,0.693606755
1962,-3.003076588
1963,0.746645708
1964,3.660982949
1965,14.83900446
1966,9.036440658
1967,0.701897484
1968,-1.675759425
1969,3.409820282
1970,3.762898596
1971,3.140421714
1972,2.102363346
1973,5.112184039
1974,10.02431775
1975,9.669695482
1976,10.31741589
1977,12.73216279
1978,11.07810038
1979,9.904360512
1980,20.81922493
1981,10.31728422
1982,14.82300885
1983,16.07987388
1984,17.03636638
1985,12.10675606
1986,23.86428982
1987,19.69359331
1988,17.66348615
1989,21.26186709
1990,16.75637471
1991,19.74854482
1992,13.63742417
1993,12.08979229
1994,8.154231286
1995,15.7422305
1996,7.187103697
1997,4.625605788
1998,3.872575464
1999,3.079499126
2000,2.683805353
2001,2.269757205
2002,2.73723855
2003,4.507776363
2004,11.27061933
2005,4.869396969
2006,7.644526445
2007,9.318969058
2008,18.31683168
2009,11.76349544
2010,11.26518827
2011,10.06492599
2012,7.111729433
2013,9.469719811
2014,10.07021547
2015,10.37049034
2016,13.81360621
2017,29.50660839
2018,14.40146578
2019,9.152799593
2020,5.04493289
2021,5.214049405
2022,13.89566098
2023,33.88477631
2024,28.27058993
